               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12028,            0.026832,                   0,                   0,                   0,                   0,                   0,             0.10162,            0.028822,                   0,              0.0901,              0.0011,              0.0011
                   1,             0.12731,            0.022268,                   0,                   0,                   0,                   0,                   0,            0.097755,            0.023411,                   0,            0.079281,            0.002281,            0.002281
                   2,             0.11766,            0.018579,                   0,                   0,                   0,                   0,                   0,            0.092781,            0.020262,                   0,            0.068442,           0.0034422,           0.0034422
                   3,             0.10862,            0.016748,                   0,                   0,                   0,                   0,                   0,            0.088984,            0.018302,                   0,            0.057584,           0.0045837,           0.0045837
                   4,            0.097099,            0.016408,                   0,                   0,                   0,                   0,                   0,            0.081659,            0.018781,                   0,            0.046705,           0.0057053,           0.0057053
                   5,             0.10179,            0.017417,                   0,          0.00069444,             0.20833,          0.00042171,          0.00017235,            0.075806,            0.018907,                   0,            0.035807,           0.0068071,           0.0068071
                   6,            0.091519,            0.015663,                   0,           0.0023611,             0.70833,           0.0067716,           0.0019464,            0.078023,            0.015988,                   0,            0.024889,           0.0078891,           0.0078891
                   7,             0.07688,            0.015771,                   0,            0.003125,              0.9375,             0.13079,            0.030499,            0.082948,            0.014453,                   0,            0.013951,           0.0089514,           0.0089514
                   8,            0.085032,            0.017125,                   0,           0.0029167,               0.875,            0.042841,             0.01064,            0.072942,            0.015485,                   0,             0.00934,             0.00934,             0.00934
                   9,            0.079472,            0.015636,                   0,           0.0033985,             0.85417,            0.075345,            0.019443,            0.065761,            0.015874,                   0,             0.00934,             0.00934,             0.00934
                  10,            0.066522,            0.016028,                   0,           0.0063992,              0.9375,             0.10863,            0.030014,            0.065445,            0.015298,                   0,           0.0092575,           0.0092575,           0.0092575
                  11,            0.066053,             0.01455,                   0,             0.16689,             0.41667,              0.1938,            0.065756,            0.065862,            0.015783,                   0,            0.009175,            0.009175,            0.009175
                  12,              0.0637,            0.016044,                   0,             0.13941,              0.3125,            0.095519,            0.040109,            0.073976,            0.015778,                   0,           0.0090925,           0.0090925,           0.0090925
                  13,            0.067156,            0.014642,                   0,             0.30976,             0.39583,             0.25163,            0.097646,            0.053436,            0.018345,                   0,             0.00901,             0.00901,             0.00901
                  14,            0.062276,            0.015245,                   0,             0.36632,             0.50588,             0.41003,             0.17578,            0.054839,            0.020572,                   0,           0.0089275,           0.0089275,           0.0089275
                  15,            0.060507,            0.013792,                   0,             0.38331,             0.41667,             0.34772,            0.096121,             0.04901,            0.017748,                   0,            0.008845,            0.008845,            0.008845
                  16,            0.053982,            0.014251,                   0,             0.64316,             0.45074,             0.46118,             0.17523,            0.064229,            0.013153,                   0,           0.0087625,           0.0087625,           0.0087625
                  17,            0.062889,            0.012367,                   0,             0.54076,             0.52083,             0.49125,              0.2044,            0.042857,            0.015307,                   0,             0.00868,             0.00868,             0.00868
                  18,            0.056717,            0.012719,                   0,             0.70117,             0.48898,             0.53983,             0.24291,            0.046784,            0.015398,                   0,           0.0085975,           0.0085975,           0.0085975
                  19,            0.052277,            0.011533,                   0,             0.82183,             0.54167,             0.69457,             0.31311,            0.050824,             0.01447,                   0,            0.008515,            0.008515,            0.008515
                  20,            0.054853,             0.01221,                   0,             0.59392,             0.60417,             0.58749,             0.26934,            0.044882,            0.014465,                   0,           0.0084325,           0.0084325,           0.0084325
                  21,            0.048739,            0.011536,                   0,             0.66049,             0.72956,             0.75547,             0.33022,            0.040167,            0.013523,                   0,             0.00835,             0.00835,             0.00835
                  22,            0.049027,            0.011068,                   0,              0.7499,             0.74961,             0.78049,             0.33146,            0.040423,            0.012569,                   0,           0.0082675,           0.0082675,           0.0082675
                  23,            0.052737,            0.010711,                   0,              0.8451,             0.79574,             0.87396,             0.42256,            0.037477,            0.011983,                   0,            0.008185,            0.008185,            0.008185
                  24,            0.050743,            0.010443,                   0,             0.94936,             0.78124,             0.89272,             0.39951,            0.041297,            0.011386,                   0,           0.0081025,           0.0081025,           0.0081025
